#"experimental notes: colony growth data for last ste of rafts before focusing on mutant generation"
#"incubation tempurature in C: 37"
#"NKEK stock: "
#"J23T3 stock: unknown"
#"days post lift: 10"
#"date: date data was collected"
#"atl_KO is strain #37, icaA_KO is strain #8"
#"notes: comment about the data point; agar denotes TSB plated tests; OD660_x:y denotes the harvest OD x and the diluted OD y; double denotes two 3uL drops merged; mix denotes one 3uL drop merged with the control drop; infected denotes the media was cloudy; visible denotes colonys can be seen by naked eye easily"
#"timepoint: hours elapsed from T0 before sample was taken"
#"sample_strain: strain or species of bacteria"
#"sample_id: other identifcation of bacteria"
#"count: number of colonies counted in a 10uL plated drop"
#"dilution: x10 fold dilution 20uL in 180uL; if blank denotes 3uL drop representing total exposure amount"
date,notes,timepoint,sample_strain,sample_id,count,dilution
160203,OD660_0.42,0,LAC,wt,,
160203,OD660_0.47,0,LAC,atl_KO,,
160203,OD660_,0.46,LAC,icaA_KO,,
160203,agar,0,LAC,wt,3,
160203,agar,0,LAC,wt,5,
160203,agar,0,LAC,wt,5,
160203,agar,0,LAC,wt,11,
160203,agar,0,LAC,wt,7,
160203,agar,0,LAC,wt,9,
160203,agar_stock,0,LAC,wt,13,5
160203,agar_stock,0,LAC,wt,1,1
160203,agar,0,LAC,atl_KO,2,
160203,agar,0,LAC,atl_KO,1,
160203,agar,0,LAC,atl_KO,2,
160203,agar,0,LAC,atl_KO,3,
160203,agar,0,LAC,atl_KO,2,
160203,agar,0,LAC,atl_KO,1,
160203,agar_stock,0,LAC,atl_KO,2,5
160203,agar_stock,0,LAC,atl_KO,1,1
160203,agar,0,LAC,icaA_KO,4,
160203,agar,0,LAC,icaA_KO,14,
160203,agar,0,LAC,icaA_KO,18,
160203,agar,0,LAC,icaA_KO,12,
160203,agar,0,LAC,icaA_KO,10,
160203,agar,0,LAC,icaA_KO,8,
160203,agar,0,LAC,icaA_KO,9,
160203,agar,0,LAC,icaA_KO,11,
160203,agar_stock,0,LAC,icaA_KO,17,5
160203,agar_stock,0,LAC,icaA_KO,3,1
160206,,72,LAC,wt,12,5
160206,,72,LAC,wt,7,5
160206,,72,LAC,wt,5,6
160206,visible,72,LAC,wt,7,6
160206,,72,LAC,wt,12,5
160206,,72,LAC,wt,2,5
160206,,72,LAC,wt,5,5
160206,,72,LAC,atl_KO,18,3
160206,,72,LAC,atl_KO,5,4
160206,,72,LAC,atl_KO,32,4
160206,,72,LAC,atl_KO,9,4
160206,mix,72,LAC,atl_KO,7,4
160206,mix,72,LAC,atl_KO,10,4
160206,,72,LAC,atl_KO,0,
160206,,72,LAC,atl_KO,25,4
160206,,72,LAC,icaA_KO,8,5
160206,,72,LAC,icaA_KO,3,5
160206,,72,LAC,icaA_KO,12,5
160206,double,72,LAC,icaA_KO,11,5
160206,,72,LAC,icaA_KO,6,5
160206,,72,LAC,icaA_KO,5,5
160206,,72,LAC,icaA_KO,3,5
160208,,120,LAC,wt,14,5
160208,,120,LAC,wt,10,5
160208,,120,LAC,wt,23,5
160208,,120,LAC,wt,13,5
160208,,120,LAC,wt,19,5
160208,,120,LAC,atl_KO,5,5
160208,,120,LAC,atl_KO,7,2
160208,double_infected,120,LAC,atl_KO,14,3
160208,double_infected,120,LAC,atl_KO,17,3
160208,,120,LAC,atl_KO,0,
160208,,120,LAC,atl_KO,0,
160208,,120,LAC,atl_KO,7,5
160208,,120,LAC,atl_KO,3,5
160208,,120,LAC,icaA_KO,23,5
160208,,120,LAC,icaA_KO,7,6
160208,,120,LAC,icaA_KO,2,6
